LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
33898-8,Bilirubin.glucuronidated+Bilirubin.non-glucuronidated,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.conjugated+indirect [Mass/volume] in Serum or Plasma",mg/dL,2.09,false,Bilirubin.glucuronidated+Bilirubin.non-glucuronidated:MCnc:Pt:Ser/Plas:Qn:
33899-6,Bilirubin.glucuronidated+Bilirubin.non-glucuronidated,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.70,ACTIVE,1,Both,,umol/L,"Bilirubin.conjugated+indirect [Moles/volume] in Serum or Plasma",umol/L,2.09,false,Bilirubin.glucuronidated+Bilirubin.non-glucuronidated:SCnc:Pt:Ser/Plas:Qn:
50189-0,"Neonatal bilirubin panel",MCnc,Pt,Ser/Plas,Qn,,PANEL.CHEM,2.73,ACTIVE,1,Order,,,"Neonatal bilirubin panel [Mass/volume] - Serum or Plasma",,2.22,true,"Neonatal bilirubin panel:MCnc:Pt:Ser/Plas:Qn:"
78442-1,Bilirubin.non-glucuronidated,SCnc,Pt,"Periton fld",Qn,,CHEM,2.54,ACTIVE,1,Both,,umol/L,"Bilirubin.indirect [Moles/volume] in Peritoneal fluid",umol/L,2.54,false,"Bilirubin.non-glucuronidated:SCnc:Pt:Periton fld:Qn:"
64082-1,Bilirubin.non-glucuronidated,MCnc,Pt,BldCo,Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/dL,"Bilirubin.indirect [Mass/volume] in Cord blood",mg/dL,2.36,false,Bilirubin.non-glucuronidated:MCnc:Pt:BldCo:Qn:
35672-5,"Bilirubin.glucuronidated+Bilirubin.albumin bound/Bilirubin.total",MFr,Pt,Ser/Plas,Qn,,CHEM,2.34,ACTIVE,1,Observation,,%,"Bilirubin.direct/Bilirubin.total in Serum or Plasma",%,2.13,false,"Bilirubin.glucuronidated+Bilirubin.albumin bound/Bilirubin.total:MFr:Pt:Ser/Plas:Qn:"
15153-0,Bilirubin.non-glucuronidated,MCnc,Pt,Ser/Plas,Qn,"Differential light absorption",CHEM,2.70,DEPRECATED,1,,,mg/dL,"Deprecated Indirect bilirubin [Mass/volume] in Serum or Plasma",mg/dL,1.0k,false,"Bilirubin.non-glucuronidated:MCnc:Pt:Ser/Plas:Qn:Differential light absorption"
29210-2,Bilirubin.non-glucuronidated,MCnc,Pt,"Body fld",Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.indirect [Mass/volume] in Body fluid",mg/dL,2.03,false,"Bilirubin.non-glucuronidated:MCnc:Pt:Body fld:Qn:"
1971-1,Bilirubin.non-glucuronidated,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.indirect [Mass/volume] in Serum or Plasma",mg/dL,1.0,false,Bilirubin.non-glucuronidated:MCnc:Pt:Ser/Plas:Qn:
35192-4,Bilirubin.non-glucuronidated,MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,DISCOURAGED,1,Both,,,"Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma",mg/dL,2.11,false,Bilirubin.non-glucuronidated:MSCnc:Pt:Ser/Plas:Qn:
39463-5,Bilirubin.non-glucuronidated,SCnc,Pt,"Body fld",Qn,,CHEM,2.70,ACTIVE,1,Both,,umol/L,"Bilirubin.indirect [Moles/volume] in Body fluid",umol/L,2.15,false,"Bilirubin.non-glucuronidated:SCnc:Pt:Body fld:Qn:"
14630-8,Bilirubin.non-glucuronidated,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,umol/L,"Bilirubin.indirect [Moles/volume] in Serum or Plasma",umol/L,1.0k,false,Bilirubin.non-glucuronidated:SCnc:Pt:Ser/Plas:Qn:
75697-3,"Bilirubin fractions panel",SCnc,-,Ser/Plas,-,,PANEL.CHEM,2.50,ACTIVE,1,Order,,,"Bilirubin fractions panel [Moles/volume] - Serum or Plasma",,2.50,true,"Bilirubin fractions panel:SCnc:-:Ser/Plas:-:"
48623-3,"Bilirubin.glucuronidated+Bilirubin.albumin bound",MCnc,Pt,BldCo,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.direct [Mass/volume] in Cord blood",mg/dL,2.21,false,"Bilirubin.glucuronidated+Bilirubin.albumin bound:MCnc:Pt:BldCo:Qn:"
56906-1,"Bilirubin.glucuronidated+Bilirubin.albumin bound",MCnc,Pt,"Periton fld",Qn,,CHEM,2.34,ACTIVE,1,Both,,mg/dL,"Bilirubin.direct [Mass/volume] in Peritoneal fluid",mg/dL,2.29,false,"Bilirubin.glucuronidated+Bilirubin.albumin bound:MCnc:Pt:Periton fld:Qn:"
56905-3,"Bilirubin.glucuronidated+Bilirubin.albumin bound",MCnc,Pt,"Plr fld",Qn,,CHEM,2.34,ACTIVE,1,Both,,mg/dL,"Bilirubin.direct [Mass/volume] in Pleural fluid",mg/dL,2.29,false,"Bilirubin.glucuronidated+Bilirubin.albumin bound:MCnc:Pt:Plr fld:Qn:"
18264-2,"Bilirubin.glucuronidated+Bilirubin.albumin bound",MCnc,Pt,Ser/Plas,Qn,Incubation.1M,CHEM,2.70,DEPRECATED,1,,,mg/dL,"Deprecated Direct bilirubin [Mass/volume] in Serum or Plasma",mg/dL,1.0l,false,"Bilirubin.glucuronidated+Bilirubin.albumin bound:MCnc:Pt:Ser/Plas:Qn:Incubation.1M"
14152-3,"Bilirubin.glucuronidated+Bilirubin.albumin bound",MCnc,Pt,"Body fld",Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.direct [Mass/volume] in Body fluid",mg/dL,1.0k,false,"Bilirubin.glucuronidated+Bilirubin.albumin bound:MCnc:Pt:Body fld:Qn:"
1968-7,"Bilirubin.glucuronidated+Bilirubin.albumin bound",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.direct [Mass/volume] in Serum or Plasma",mg/dL,1.0,false,"Bilirubin.glucuronidated+Bilirubin.albumin bound:MCnc:Pt:Ser/Plas:Qn:"
35191-6,"Bilirubin.glucuronidated+Bilirubin.albumin bound",MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,DISCOURAGED,1,Both,,,"Bilirubin.direct [Mass or Moles/volume] in Serum or Plasma",,2.11,false,"Bilirubin.glucuronidated+Bilirubin.albumin bound:MSCnc:Pt:Ser/Plas:Qn:"
43820-0,"Bilirubin.glucuronidated+Bilirubin.albumin bound",PrThr,Pt,Ser/Plas,Ord,,CHEM,2.73,ACTIVE,1,Both,,,"Bilirubin.direct [Presence] in Serum or Plasma",,2.17,false,"Bilirubin.glucuronidated+Bilirubin.albumin bound:PrThr:Pt:Ser/Plas:Ord:"
25564-6,"Bilirubin.glucuronidated+Bilirubin.albumin bound",SCnc,Pt,"Body fld",Qn,,CHEM,2.70,ACTIVE,1,Both,,umol/L,"Bilirubin.direct [Moles/volume] in Body fluid",umol/L,2.00,false,"Bilirubin.glucuronidated+Bilirubin.albumin bound:SCnc:Pt:Body fld:Qn:"
14629-0,"Bilirubin.glucuronidated+Bilirubin.albumin bound",SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,umol/L,"Bilirubin.direct [Moles/volume] in Serum or Plasma",umol/L,1.0k,false,"Bilirubin.glucuronidated+Bilirubin.albumin bound:SCnc:Pt:Ser/Plas:Qn:"
34543-9,"Bilirubin direct & total panel",MCnc,Pt,Ser/Plas,Qn,,PANEL.CHEM,2.73,ACTIVE,1,Order,,,"Bilirubin direct and total panel [Mass/volume] - Serum or Plasma",,2.10,true,"Bilirubin direct & total panel:MCnc:Pt:Ser/Plas:Qn:"
34442-4,Bilirubin.glucuronidated/Bilirubin.total,MFr,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,ratio,"Bilirubin.conjugated/Bilirubin.total in Serum or Plasma",{ratio},2.10,false,Bilirubin.glucuronidated/Bilirubin.total:MFr:Pt:Ser/Plas:Qn:
44075-0,"Bilirubin casts",PrThr,Pt,"Urine sed",Ord,Microscopy.light,UA,2.56,ACTIVE,1,Observation,,,"Bilirubin casts [Presence] in Urine sediment by Light microscopy",,2.17,false,"Bilirubin casts:PrThr:Pt:Urine sed:Ord:Microscopy.light"
72261-1,"Bilirubin excess",SCnc,Pt,Ser+CSF,Qn,,CHEM,2.42,ACTIVE,1,Observation,,umol/L,"Bilirubin excess [Moles/volume] in Serum and CSF",umol/L,2.42,false,"Bilirubin excess:SCnc:Pt:Ser+CSF:Qn:"
53083-2,Bilirubin.glucuronidated,SCnc,Pt,"Dial fld",Qn,,CHEM,2.70,ACTIVE,1,Both,,umol/L,"Bilirubin.conjugated [Moles/volume] in Dialysis fluid",umol/L,2.24,false,"Bilirubin.glucuronidated:SCnc:Pt:Dial fld:Qn:"
78441-3,Bilirubin.glucuronidated,SCnc,Pt,"Periton fld",Qn,,CHEM,2.54,ACTIVE,1,Both,,umol/L,"Bilirubin.conjugated [Moles/volume] in Peritoneal fluid",umol/L,2.54,false,"Bilirubin.glucuronidated:SCnc:Pt:Periton fld:Qn:"
58941-6,Bilirubin,MCnc,Pt,Skin,Qn,"Transcutaneous meter",CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin [Mass/volume] in Skin",mg/dL,2.32,false,"Bilirubin:MCnc:Pt:Skin:Qn:Transcutaneous meter"
77452-1,Bilirubin,PrThr,Pt,"Periton fld",Ord,,CHEM,2.56,ACTIVE,1,Both,,,"Bilirubin [Presence] in Peritoneal fluid",,2.52,false,"Bilirubin:PrThr:Pt:Periton fld:Ord:"
72898-0,Bilirubin,SCnc,Pt,Skin,Qn,"Transcutaneous meter",CHEM,2.44,ACTIVE,1,Both,,umol/L,"Bilirubin [Moles/volume] in Skin",umol/L,2.44,false,"Bilirubin:SCnc:Pt:Skin:Qn:Transcutaneous meter"
33458-1,Bilirubin.glucuronidated,MCnc,Pt,"Body fld",Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/dL,"Bilirubin.conjugated [Mass/volume] in Body fluid",mg/dL,2.09,false,"Bilirubin.glucuronidated:MCnc:Pt:Body fld:Qn:"
15152-2,Bilirubin.glucuronidated,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.conjugated [Mass/volume] in Serum or Plasma",mg/dL,1.0k,false,Bilirubin.glucuronidated:MCnc:Pt:Ser/Plas:Qn:
39462-7,Bilirubin.glucuronidated,SCnc,Pt,"Body fld",Qn,,CHEM,2.70,ACTIVE,1,Both,,umol/L,"Bilirubin.conjugated [Moles/volume] in Body fluid",umol/L,2.15,false,"Bilirubin.glucuronidated:SCnc:Pt:Body fld:Qn:"
29760-6,Bilirubin.glucuronidated,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,umol/L,"Bilirubin.conjugated [Moles/volume] in Serum or Plasma",umol/L,2.03,false,Bilirubin.glucuronidated:SCnc:Pt:Ser/Plas:Qn:
58450-8,Bilirubin,PrThr,Pt,Urine,Ord,Confirm,UA,2.73,ACTIVE,1,Both,,,"Bilirubin [Presence] in Urine by Confirmatory method",,2.30,false,Bilirubin:PrThr:Pt:Urine:Ord:Confirm
1978-6,Bilirubin,MCnc,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Urine",mg/dL,1.0,false,Bilirubin:MCnc:Pt:Urine:Qn:
1977-8,Bilirubin,PrThr,Pt,Urine,Ord,,CHEM,2.73,ACTIVE,1,Both,,,"Bilirubin.total [Presence] in Urine",,1.0,false,Bilirubin:PrThr:Pt:Urine:Ord:
70199-5,Bilirubin,SCnc,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,umol/L,"Bilirubin.total [Moles/volume] in Urine",umol/L,2.40,false,Bilirubin:SCnc:Pt:Urine:Qn:
11132-8,Bilirubin,MCnc,Pt,"Body fld",Qn,,CHEM,2.36,DEPRECATED,1,,,,"Deprecated Bilirubin [Mass/volume] in Body fluid",,1.0j-a,false,"Bilirubin:MCnc:Pt:Body fld:Qn:"
42719-5,Bilirubin,MCnc,Pt,Bld,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Blood",mg/dL,2.16,false,Bilirubin:MCnc:Pt:Bld:Qn:
14420-4,Bilirubin,MCnc,Pt,"Dial fld",Qn,,CHEM,2.38,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Dialysis fluid",mg/dL,1.0k,false,"Bilirubin:MCnc:Pt:Dial fld:Qn:"
14424-6,Bilirubin,MCnc,Pt,"Gast fld",Qn,,CHEM,2.38,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Gastric fluid",mg/dL,1.0k,false,"Bilirubin:MCnc:Pt:Gast fld:Qn:"
49763-6,Bilirubin,MCnc,Pt,"Pericard fld",Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Pericardial fluid",mg/dL,2.22,false,"Bilirubin:MCnc:Pt:Pericard fld:Qn:"
14421-2,Bilirubin,MCnc,Pt,"Plr fld",Qn,,CHEM,2.38,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Pleural fluid",mg/dL,1.0k,false,"Bilirubin:MCnc:Pt:Plr fld:Qn:"
1976-0,Bilirubin,PrThr,Pt,Stool,Ord,,CHEM,2.73,ACTIVE,1,Both,,,"Bilirubin.total [Presence] in Stool",,1.0,false,Bilirubin:PrThr:Pt:Stool:Ord:
54363-7,Bilirubin,SCnc,Pt,Bld,Qn,,CHEM,2.70,ACTIVE,1,Both,,umol/L,"Bilirubin.total [Moles/volume] in Blood",umol/L,2.27,false,Bilirubin:SCnc:Pt:Bld:Qn:
54362-9,Bilirubin,SCnc,Pt,"Dial fld",Qn,,CHEM,2.70,ACTIVE,1,Both,,umol/L,"Bilirubin.total [Moles/volume] in Dialysis fluid",umol/L,2.27,false,"Bilirubin:SCnc:Pt:Dial fld:Qn:"
33236-1,"Bilirubin crystals",PrThr,Pt,Urine,Ord,"Computer assisted",UA,2.70,ACTIVE,1,Observation,,,"Bilirubin crystals [Presence] in Urine by Computer assisted method",,2.09,false,"Bilirubin crystals:PrThr:Pt:Urine:Ord:Computer assisted"
59827-6,Bilirubin,MCnc,Pt,BldA,Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Arterial blood",mg/dL,2.32,false,Bilirubin:MCnc:Pt:BldA:Qn:
59828-4,Bilirubin,MCnc,Pt,BldV,Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Venous blood",mg/dL,2.32,false,Bilirubin:MCnc:Pt:BldV:Qn:
14422-0,Bilirubin,MCnc,Pt,"Periton fld",Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Bilirubin.total [Mass/volume] in Peritoneal fluid",mg/dL,1.0k,false,"Bilirubin:MCnc:Pt:Periton fld:Qn:"
20505-4,Bilirubin,MCnc,Pt,Urine,SemiQn,"Test strip",UA,2.75,ACTIVE,1,Observation,,mg/dL,"Bilirubin.total [Mass/volume] in Urine by Test strip",mg/dL,1.0m,false,"Bilirubin:MCnc:Pt:Urine:SemiQn:Test strip"
5770-3,Bilirubin,PrThr,Pt,Urine,Ord,"Test strip",UA,2.73,ACTIVE,1,Observation,,,"Bilirubin.total [Presence] in Urine by Test strip",,1.0,false,"Bilirubin:PrThr:Pt:Urine:Ord:Test strip"
33870-7,Bilirubin,PrThr,Pt,XXX,Ord,,CHEM,2.73,ACTIVE,1,Both,,,"Bilirubin.total [Presence] in Specimen",,2.09,false,Bilirubin:PrThr:Pt:XXX:Ord:
89872-6,Bilirubin,SCnc,Pt,BldA,Qn,,CHEM,2.65,ACTIVE,1,Both,,umol/L,"Bilirubin.total [Moles/volume] in Arterial blood",umol/L,2.65,false,Bilirubin:SCnc:Pt:BldA:Qn:
47994-9,Bilirubin,SCnc,Pt,BldCo,Qn,,CHEM,2.70,ACTIVE,1,Both,,umol/L,"Bilirubin.total [Moles/volume] in Cord blood",umol/L,2.21,false,Bilirubin:SCnc:Pt:BldCo:Qn:
89871-8,Bilirubin,SCnc,Pt,BldV,Qn,,CHEM,2.65,ACTIVE,1,Both,,umol/L,"Bilirubin.total [Moles/volume] in Venous blood",umol/L,2.65,false,Bilirubin:SCnc:Pt:BldV:Qn:
